Year,Rank,Recipient,Country,Career,Tied,Title
2022,9,"Bailee Frami III",Belgium,"Maintenance Equipment Operator",0,"Bailee Frami III"
2022,10,"Cecelia Johnston",Micronesia,"Fire Inspector",0,"Cecelia Johnston"
2022,1,"Jazmin Murphy",Belgium,"Separating Machine Operators",0,"Jazmin Murphy"
2022,2,"Allen Von I","Saint Barthelemy","Food Service Manager",0,"Allen Von I"
2022,3,"Mr. Giovanni Kling V",Vietnam,"Cafeteria Cook",0,"Mr. Giovanni Kling V"
2022,4,"Mackenzie Goodwin",Suriname,"Gaming Manager",0,"Mackenzie Goodwin"
2022,5,"Brandy Romaguera",Yemen,"Counseling Psychologist",0,"Brandy Romaguera"
2022,6,"Jarod Luettgen",Luxembourg,"Payroll Clerk",0,"Jarod Luettgen"
2022,7,"Prof. Carmine Tromp",Senegal,"Stationary Engineer OR Boiler Operator",0,"Prof. Carmine Tromp"
2022,8,"Ali Heidenreich DVM",Iraq,Sailor,0,"Ali Heidenreich DVM"
2022,9,"Alia Rath",Maldives,"Music Composer",0,"Alia Rath"
2022,10,"Daren Feil",Israel,"Entertainment Attendant",0,"Daren Feil"
2022,1,"Dr. Stan Will",Sudan,Microbiologist,0,"Dr. Stan Will"
2022,2,"Betty Lowe",Niue,Spotters,0,"Betty Lowe"
2022,3,"Vito Balistreri",Peru,Chemist,0,"Vito Balistreri"
2022,4,"Tina Jakubowski",Bulgaria,"Film Laboratory Technician",0,"Tina Jakubowski"
2022,5,"Mrs. Herta Jakubowski DVM",Mali,"Door To Door Sales",0,"Mrs. Herta Jakubowski DVM"
2022,6,"Erwin Kessler","San Marino","Logging Supervisor",0,"Erwin Kessler"
2022,7,"Winnifred Pacocha","Syrian Arab Republic",Waiter,0,"Winnifred Pacocha"
2022,8,"Spencer Lueilwitz PhD",Ireland,"Outdoor Power Equipment Mechanic",0,"Spencer Lueilwitz PhD"
2022,9,"Lafayette Simonis",Monaco,"Tire Builder",0,"Lafayette Simonis"
2022,10,"Prof. Eleonore Morissette DDS",Uzbekistan,"Psychiatric Technician",0,"Prof. Eleonore Morissette DDS"
2022,1,"Kariane Dicki",Bermuda,"Copy Machine Operator",0,"Kariane Dicki"
2022,2,"Prof. Kian Stanton V",Turkey,"Cutting Machine Operator",0,"Prof. Kian Stanton V"
2022,3,"Emmanuel Lakin",Barbados,"Copy Machine Operator",0,"Emmanuel Lakin"
2022,4,"Bettie Hamill DVM","Saint Barthelemy","Child Care",0,"Bettie Hamill DVM"
2022,5,"Prof. Jasper Reichert",Ireland,"Court Clerk",0,"Prof. Jasper Reichert"
2022,6,"Kristina Murazik",Kazakhstan,"Cafeteria Cook",0,"Kristina Murazik"
2022,7,"Frederik Hoeger Jr.",Malawi,"Freight and Material Mover",0,"Frederik Hoeger Jr."
2022,8,"Cassidy Rempel",Israel,"Bindery Machine Operator",0,"Cassidy Rempel"
2022,9,"Sherwood Quigley",Uzbekistan,"Construction Driller",0,"Sherwood Quigley"
2022,10,"Eunice Skiles II",Guernsey,"Personnel Recruiter",0,"Eunice Skiles II"
2022,1,"Mr. Milford White",Romania,"Industrial Machinery Mechanic",0,"Mr. Milford White"
2022,2,"Jayne Bartell",Germany,"Education Teacher",0,"Jayne Bartell"
2022,3,"Braxton Auer",Nepal,Janitor,0,"Braxton Auer"
2022,4,"Omer Hammes MD","Saint Helena","Irradiated-Fuel Handler",0,"Omer Hammes MD"
2022,5,"Yasmin Friesen",Paraguay,"Pharmacy Technician",0,"Yasmin Friesen"
2022,6,"Dr. Christian Champlin",Cameroon,"Gaming Supervisor",0,"Dr. Christian Champlin"
2022,7,"Lester Rath",Nigeria,"Chemical Equipment Controller",0,"Lester Rath"
2022,8,"Darrion Kertzmann PhD",Comoros,"Procurement Clerk",0,"Darrion Kertzmann PhD"
2022,9,"Hailee Feeney Jr.","Saint Helena","Brazing Machine Operator",0,"Hailee Feeney Jr."
2022,10,"Deondre Brekke","New Zealand",Stevedore,0,"Deondre Brekke"
2022,1,"Bartholome Rutherford",Montserrat,Actor,0,"Bartholome Rutherford"
2022,2,"Raoul Veum",Fiji,"Procurement Clerk",0,"Raoul Veum"
2022,3,"Prof. Sylvester Bayer",Swaziland,"Interaction Designer",0,"Prof. Sylvester Bayer"
2022,4,"Mr. Wilson Boyle",Guadeloupe,Glazier,0,"Mr. Wilson Boyle"
2022,5,"Prof. Felicity Brown II","Hong Kong","Media and Communication Worker",0,"Prof. Felicity Brown II"
2022,6,"Ms. Melody Heathcote DDS","Saint Helena","Industrial Equipment Maintenance",0,"Ms. Melody Heathcote DDS"
2022,7,"Dr. Hobart Kshlerin",Finland,"Civil Engineer",0,"Dr. Hobart Kshlerin"
2022,8,"Kira Davis",Iran,"Insurance Sales Agent",0,"Kira Davis"
2022,9,"Mr. Monserrate Hilpert",Grenada,"Ambulance Driver",0,"Mr. Monserrate Hilpert"
2022,10,"Mr. Levi Klocko PhD",Malaysia,"Transportation Attendant",0,"Mr. Levi Klocko PhD"
2022,1,"Chelsea Wuckert","Bosnia and Herzegovina",Janitor,0,"Chelsea Wuckert"
2022,2,"Magdalena McClure","French Guiana","Visual Designer",0,"Magdalena McClure"
2022,3,"Isaac Dietrich",Zimbabwe,"Electromechanical Equipment Assembler",0,"Isaac Dietrich"
2022,4,"Bartholome Cruickshank","Antarctica (the territory South of 60 deg S)","Able Seamen",0,"Bartholome Cruickshank"
2022,5,"Prof. Lilla Becker",Pakistan,"Elevator Installer and Repairer",0,"Prof. Lilla Becker"
2022,6,"Dr. Adolf Lueilwitz PhD","New Caledonia","Plating Operator OR Coating Machine Operator",0,"Dr. Adolf Lueilwitz PhD"
2022,7,"Tyshawn Goyette","Lao People's Democratic Republic","Taxi Drivers and Chauffeur",0,"Tyshawn Goyette"
2022,8,"Brown Kshlerin",Vanuatu,"Soil Scientist",0,"Brown Kshlerin"
2022,9,"Ana Spencer",Oman,"Loan Interviewer",0,"Ana Spencer"
2022,10,"Vincenzo Russel",Rwanda,"Securities Sales Agent",0,"Vincenzo Russel"
2022,1,"Miss Daniela Smitham",Suriname,"Insulation Worker",0,"Miss Daniela Smitham"
2022,2,"Allene Beer Sr.",Korea,"Fabric Mender",0,"Allene Beer Sr."
2022,3,"Antonia Bosco",Bolivia,"Agricultural Worker",0,"Antonia Bosco"
2022,4,"Mr. Marco Labadie DVM",Canada,"Mechanical Engineer",0,"Mr. Marco Labadie DVM"
2022,5,"Miss Maeve Blanda",Ireland,"Photographic Developer",0,"Miss Maeve Blanda"
2022,6,"Iliana Paucek Sr.",Poland,"Substation Maintenance",0,"Iliana Paucek Sr."
2022,7,"Cleta Abshire DDS","Wallis and Futuna","Automatic Teller Machine Servicer",0,"Cleta Abshire DDS"
2022,8,"Alva Pagac",Uruguay,"Career Counselor",0,"Alva Pagac"
2022,9,"Destini Kuhlman",Canada,"Electronic Masking System Operator",0,"Destini Kuhlman"
2022,10,"Isom Konopelski",Martinique,"Tractor-Trailer Truck Driver",0,"Isom Konopelski"
2022,1,"Prof. Kyla Pacocha V",Barbados,"Engineering Manager",0,"Prof. Kyla Pacocha V"
2022,2,"Mr. Avery Doyle","Libyan Arab Jamahiriya","Computer Operator",0,"Mr. Avery Doyle"
2022,3,"Vena Swaniawski",Anguilla,"Elementary and Secondary School Administrators",0,"Vena Swaniawski"
2022,4,"Alison Blanda I","Norfolk Island","Physical Therapist Aide",0,"Alison Blanda I"
2022,5,"Tristian Cremin",Suriname,"Mathematical Scientist",0,"Tristian Cremin"
2022,6,"Brad Ortiz Sr.",Monaco,Coroner,0,"Brad Ortiz Sr."
2022,7,"Cora Dare","Cook Islands","Fire Inspector",0,"Cora Dare"
2022,8,"Dorthy Littel","Western Sahara","Social Work Teacher",0,"Dorthy Littel"
2022,9,"Abraham Stanton Jr.",Armenia,Embalmer,0,"Abraham Stanton Jr."
2022,10,"Luz Flatley",Anguilla,"Medical Equipment Repairer",0,"Luz Flatley"
2022,1,"Prof. Eriberto Pollich",Sweden,Audiologist,0,"Prof. Eriberto Pollich"
2022,2,"Doug Hoeger",Sweden,"Teacher Assistant",0,"Doug Hoeger"
2022,3,"Dr. Hans Daniel",Botswana,"Hand Sewer",0,"Dr. Hans Daniel"
2022,4,"Mr. Paul Fahey IV",Niger,"Adjustment Clerk",0,"Mr. Paul Fahey IV"
2022,5,"Dr. Mittie Lubowitz",Tanzania,"Sales Engineer",0,"Dr. Mittie Lubowitz"
2022,6,"Prof. Quincy Flatley Sr.",Montserrat,Inspector,0,"Prof. Quincy Flatley Sr."
2022,7,"Zola Collier MD","Cape Verde","Central Office and PBX Installers",0,"Zola Collier MD"
2022,8,"Prof. Greta Goodwin","Bouvet Island (Bouvetoya)","Corporate Trainer",0,"Prof. Greta Goodwin"
2022,9,"Keshawn Adams",Eritrea,"Dental Laboratory Technician",0,"Keshawn Adams"
2022,10,"Mrs. Betsy Kreiger",Gambia,Spotters,0,"Mrs. Betsy Kreiger"
2022,1,"Carmelo Dietrich",Israel,"Vice President Of Marketing",0,"Carmelo Dietrich"
2022,2,"Mr. Micheal Hyatt II",Singapore,"Ship Captain",0,"Mr. Micheal Hyatt II"
2022,3,"Lonzo Kemmer",Niue,"Plasterer OR Stucco Mason",0,"Lonzo Kemmer"
2022,4,"Neal Cole IV",Afghanistan,"Mathematical Scientist",0,"Neal Cole IV"
2022,5,"Dr. Pearlie Swift I",Martinique,Chiropractor,0,"Dr. Pearlie Swift I"
2022,6,"Julien Smith I","Libyan Arab Jamahiriya","Public Relations Specialist",0,"Julien Smith I"
2022,7,"Eleanore Hoppe",Guinea-Bissau,TSA,0,"Eleanore Hoppe"
2022,8,"Estelle Beier",Oman,"Rail Car Repairer",0,"Estelle Beier"
2022,9,"Kennith Morissette Sr.",Greece,"Computer Security Specialist",0,"Kennith Morissette Sr."
2022,10,"Amaya Dooley",Guatemala,Teller,0,"Amaya Dooley"
2022,1,"Mckenna Skiles","United Kingdom","Manager of Air Crew",0,"Mckenna Skiles"
2022,2,"Lenore Torphy",Comoros,"Motorboat Operator",0,"Lenore Torphy"
2022,3,"Jaleel Padberg","Turks and Caicos Islands",Sailor,0,"Jaleel Padberg"
2022,4,"Adeline Dare","United States Virgin Islands","Petroleum Pump System Operator",0,"Adeline Dare"
2022,5,"Rogelio Rau MD",Monaco,"Cement Mason and Concrete Finisher",0,"Rogelio Rau MD"
2022,6,"Dr. Ben Hodkiewicz",Congo,"Textile Knitting Machine Operator",0,"Dr. Ben Hodkiewicz"
2022,7,"Elliot Howell",Mongolia,"Ship Carpenter and Joiner",0,"Elliot Howell"
2022,8,"Trycia Runolfsdottir",Congo,"Building Cleaning Worker",0,"Trycia Runolfsdottir"
2022,9,"Kaci Sporer",Kuwait,"Welding Machine Tender",0,"Kaci Sporer"
2022,10,"Brady Hilpert",Jordan,"Bicycle Repairer",0,"Brady Hilpert"
2022,1,"Kay Fay","Northern Mariana Islands","Electro-Mechanical Technician",0,"Kay Fay"
2022,2,"Rodrick Bailey",Colombia,Actuary,0,"Rodrick Bailey"
2022,3,"Bud Stamm",China,"Home Economics Teacher",0,"Bud Stamm"
2022,4,"Deondre Wolff",Mozambique,"Well and Core Drill Operator",0,"Deondre Wolff"
2022,5,"Prof. Leta Franecki IV","Turks and Caicos Islands",Actor,0,"Prof. Leta Franecki IV"
2022,6,"Abraham Larkin","Saint Martin","Substation Maintenance",0,"Abraham Larkin"
2022,7,"Letha O'Reilly IV",Macedonia,"Food Batchmaker",0,"Letha O'Reilly IV"
2022,8,"Mrs. Kaci DuBuque I",Oman,"Brokerage Clerk",0,"Mrs. Kaci DuBuque I"
2022,9,"Marilou Wolf",Comoros,"Electronics Engineering Technician",0,"Marilou Wolf"
2022,10,"Rebekah Purdy",Bulgaria,"Survey Researcher",0,"Rebekah Purdy"
2022,1,"Connor Stokes","French Guiana","Aviation Inspector",0,"Connor Stokes"
2022,2,"Etha Murray III",Belarus,"Semiconductor Processor",0,"Etha Murray III"
2022,3,"Delilah Kerluke",Ireland,"Production Control Manager",0,"Delilah Kerluke"
2022,4,"Micheal Bartell",Finland,"Education Teacher",0,"Micheal Bartell"
2022,5,"Fabian Kertzmann",Uzbekistan,Welder,0,"Fabian Kertzmann"
2022,6,"Polly Kertzmann",Sweden,"Credit Checker",0,"Polly Kertzmann"
2022,7,"Dr. Abel Hamill Jr.",Nepal,"Electrical Engineering Technician",0,"Dr. Abel Hamill Jr."
2022,8,"Iva Homenick",Afghanistan,Biologist,0,"Iva Homenick"
2022,9,"Marcelina Hayes II",Chad,"Optical Instrument Assembler",0,"Marcelina Hayes II"
2022,10,"Mr. Juvenal Willms",Greece,"Electrical and Electronics Drafter",0,"Mr. Juvenal Willms"
2022,1,"Prof. Edmund Schowalter",France,CTO,0,"Prof. Edmund Schowalter"
2022,2,"Megane Hoeger",China,Geoscientists,0,"Megane Hoeger"
2022,3,"Kayla Harvey V","Saint Kitts and Nevis","Civil Engineering Technician",0,"Kayla Harvey V"
2022,4,"Lillian Medhurst II","South Georgia and the South Sandwich Islands","Financial Specialist",0,"Lillian Medhurst II"
2022,5,"Mr. Cicero Ferry",Norway,"Structural Iron and Steel Worker",0,"Mr. Cicero Ferry"
2022,6,"Dr. Gabriella Stroman II",Qatar,"Shear Machine Set-Up Operator",0,"Dr. Gabriella Stroman II"
2022,7,"Dr. Dayna Nader",Fiji,Orthodontist,0,"Dr. Dayna Nader"
2022,8,"Adele Graham II",Qatar,"Credit Checker",0,"Adele Graham II"
2022,9,"Prof. Elwyn Schneider","Saint Helena",Curator,0,"Prof. Elwyn Schneider"
2022,10,"Mr. Cary Reinger IV",Senegal,"Food Service Manager",0,"Mr. Cary Reinger IV"
2022,1,"Karlee Kshlerin",Serbia,Historian,0,"Karlee Kshlerin"
2022,2,"Francesco Friesen",Dominica,"Interaction Designer",0,"Francesco Friesen"
2022,3,"Clay Hansen",Sweden,"Talent Director",0,"Clay Hansen"
2022,4,"Prof. Lois Boyer",Denmark,"Conservation Scientist",0,"Prof. Lois Boyer"
2022,5,"Prof. Paris Jacobson V",Morocco,"Metal Fabricator",0,"Prof. Paris Jacobson V"
2022,6,"Emilie Cummerata",Malta,"Middle School Teacher",0,"Emilie Cummerata"
2022,7,"Kenna Luettgen",Albania,"Nuclear Technician",0,"Kenna Luettgen"
2022,8,"Terence Stokes","Heard Island and McDonald Islands","Interaction Designer",0,"Terence Stokes"
2022,9,"Prof. Kelley Ankunding V","Bosnia and Herzegovina","Casting Machine Operator",0,"Prof. Kelley Ankunding V"
2022,10,"Shanie Murphy",Anguilla,"Advertising Sales Agent",0,"Shanie Murphy"
2022,1,"Armani Mayert DVM",Peru,Electrician,0,"Armani Mayert DVM"
2022,2,"Jose Medhurst II",Malta,"Tool and Die Maker",0,"Jose Medhurst II"
2022,3,"Terrell Adams",Singapore,"Network Admin OR Computer Systems Administrator",0,"Terrell Adams"
2022,4,"Dr. Gladys O'Connell",Romania,"Train Crew",0,"Dr. Gladys O'Connell"
2022,5,"Chad Keebler",Armenia,"Construction Driller",0,"Chad Keebler"
2022,6,"Mr. Kayleigh Gaylord",Argentina,"Telecommunications Equipment Installer",0,"Mr. Kayleigh Gaylord"
2022,7,"Terrence Wintheiser",Gambia,"Operating Engineer",0,"Terrence Wintheiser"
2022,8,"Alexandrea Lowe V",Mauritius,Judge,0,"Alexandrea Lowe V"
2022,9,"Duncan Nikolaus",Madagascar,Chiropractor,0,"Duncan Nikolaus"
2022,10,"Loyal Schultz",Uzbekistan,"Food Service Manager",0,"Loyal Schultz"
2022,1,"Lorna Cassin",Comoros,"Manager of Food Preparation",0,"Lorna Cassin"
2022,2,"Antonetta Kessler",Tokelau,"Travel Guide",0,"Antonetta Kessler"
2022,3,"Coty Johnston",Bulgaria,"Space Sciences Teacher",0,"Coty Johnston"
2022,4,"Marielle Harris",Switzerland,Pharmacist,0,"Marielle Harris"
2022,5,"Newton Collins",Namibia,"Counseling Psychologist",0,"Newton Collins"
2022,6,"Theo Kulas",Liberia,"Grounds Maintenance Worker",0,"Theo Kulas"
2022,7,"Prof. Aaron Strosin",Liechtenstein,"Director Of Business Development",0,"Prof. Aaron Strosin"
2022,8,"Dr. Horacio Rolfson MD",Oman,"Technical Program Manager",0,"Dr. Horacio Rolfson MD"
2022,9,"Maxime Connelly V",Mauritania,"Floral Designer",0,"Maxime Connelly V"
2022,10,"Mason Erdman",Kenya,"Entertainment Attendant",0,"Mason Erdman"
2022,1,"Else Willms III",Tonga,"Benefits Specialist",0,"Else Willms III"
2022,2,"Dr. Jayde Rosenbaum",Malta,"Court Reporter",0,"Dr. Jayde Rosenbaum"
2022,3,"Dr. Marvin Stokes V","Libyan Arab Jamahiriya","Clinical Laboratory Technician",0,"Dr. Marvin Stokes V"
2022,4,"Antonette Carroll",Paraguay,"Aerospace Engineer",0,"Antonette Carroll"
2022,5,"Virginie Watsica","United States Minor Outlying Islands","Plumber OR Pipefitter OR Steamfitter",0,"Virginie Watsica"
2022,6,"Prof. Isobel Klocko",Nauru,Teacher,0,"Prof. Isobel Klocko"
2022,7,"Davon Labadie",Chile,"Photographic Restorer",0,"Davon Labadie"
2022,8,"Jeremie Ledner",Albania,"Production Worker",0,"Jeremie Ledner"
2022,9,"Prof. Joan Kerluke II",Haiti,"Marine Engineer",0,"Prof. Joan Kerluke II"
2022,10,"Nova O'Reilly","Cocos (Keeling) Islands","Training Manager OR Development Manager",0,"Nova O'Reilly"
2022,1,"Era Wehner I",Colombia,"Aircraft Cargo Handling Supervisor",0,"Era Wehner I"
2022,2,"Althea Nicolas PhD",Niger,"Title Abstractor",0,"Althea Nicolas PhD"
2022,3,"Jamison Bailey III",Egypt,"Stringed Instrument Repairer and Tuner",0,"Jamison Bailey III"
2022,4,"Luigi Keeling",Iceland,"Civil Engineer",0,"Luigi Keeling"
2022,5,"Norwood Baumbach",Gabon,"Animal Care Workers",0,"Norwood Baumbach"
2022,6,"Kristian Rippin",Madagascar,Inspector,0,"Kristian Rippin"
2022,7,"Yasmeen Schimmel PhD",Latvia,"Aviation Inspector",0,"Yasmeen Schimmel PhD"
2022,8,"Margarete Runolfsdottir V",Malawi,"Natural Sciences Manager",0,"Margarete Runolfsdottir V"
2022,9,"Gust Cummerata",Ecuador,Cartoonist,0,"Gust Cummerata"
2022,10,"Judy Kessler",Belgium,"Plastic Molding Machine Operator",0,"Judy Kessler"
2022,1,"Adell King",Spain,"Law Teacher",0,"Adell King"
2022,2,"Ludie Ankunding","British Indian Ocean Territory (Chagos Archipelago)","Artillery Crew Member",0,"Ludie Ankunding"
2022,3,"Melyssa Gislason",Vanuatu,"Personnel Recruiter",0,"Melyssa Gislason"
2022,4,"Kiara Mante I",Argentina,"Wind Instrument Repairer",0,"Kiara Mante I"
2022,5,"Lawrence Schmidt",Seychelles,Welder,0,"Lawrence Schmidt"
2022,6,"Concepcion Douglas",Kenya,Typesetter,0,"Concepcion Douglas"
2022,7,"Danielle Schiller Jr.","Bosnia and Herzegovina","Aircraft Assembler",0,"Danielle Schiller Jr."
2022,8,"Prof. Tiana Lueilwitz V",Nepal,"Psychiatric Technician",0,"Prof. Tiana Lueilwitz V"
2022,9,"Mr. Laron Hackett",Montserrat,"Customer Service Representative",0,"Mr. Laron Hackett"
2022,10,"Prof. Rhett Emard DDS","Norfolk Island","Irradiated-Fuel Handler",0,"Prof. Rhett Emard DDS"
2022,1,"Devon Moore",Honduras,"Electric Motor Repairer",0,"Devon Moore"
2022,2,"Vincenzo Effertz","United States of America",Lifeguard,0,"Vincenzo Effertz"
2022,3,"Cameron Greenfelder","Netherlands Antilles","Environmental Scientist",0,"Cameron Greenfelder"
2022,4,"Miss Helga Collier II","United Arab Emirates","Extraction Worker",0,"Miss Helga Collier II"
2022,5,"Dr. Murl Herzog",Swaziland,"Orthotist OR Prosthetist",0,"Dr. Murl Herzog"
2022,6,"Dewayne Quitzon","Heard Island and McDonald Islands","Auxiliary Equipment Operator",0,"Dewayne Quitzon"
2022,7,"Dee Bernier MD","Wallis and Futuna",Orthodontist,0,"Dee Bernier MD"
2022,8,"Dr. Brayan Kuhn",Niger,"Mine Cutting Machine Operator",0,"Dr. Brayan Kuhn"
2022,9,"Prof. Hanna Mayert",Maldives,Chef,0,"Prof. Hanna Mayert"
2022,10,"Prof. Bettye Friesen IV",Panama,"Forming Machine Operator",0,"Prof. Bettye Friesen IV"
2022,1,"Hal Schuppe DVM",Bahrain,"Drywall Ceiling Tile Installer",0,"Hal Schuppe DVM"
2022,2,"Madie Monahan",Iceland,"Parking Lot Attendant",0,"Madie Monahan"
2022,3,"Mrs. Karine Koelpin PhD",Micronesia,"Farm and Home Management Advisor",0,"Mrs. Karine Koelpin PhD"
2022,4,"Nico Bartell",Egypt,"Credit Checker",0,"Nico Bartell"
2022,5,"Shania Kuphal","Bosnia and Herzegovina",Pipelayer,0,"Shania Kuphal"
2022,6,"Della Torphy","Antarctica (the territory South of 60 deg S)","Hand Trimmer",0,"Della Torphy"
2022,7,"Mr. Grady Mertz III",Azerbaijan,"Crossing Guard",0,"Mr. Grady Mertz III"
2022,8,"Elliot Marks","Western Sahara","Gas Distribution Plant Operator",0,"Elliot Marks"
2022,9,"Dr. Carlee Runolfsdottir",Myanmar,Electrotyper,0,"Dr. Carlee Runolfsdottir"
2022,10,"Muriel Predovic",Uganda,"Tax Examiner",0,"Muriel Predovic"
2022,1,"Dejah Farrell",Armenia,"Elementary and Secondary School Administrators",0,"Dejah Farrell"
2022,2,"Mauricio Turcotte",Gabon,"Entertainment Attendant",0,"Mauricio Turcotte"
2022,3,"Prof. Tyrell Crona","Faroe Islands","Chemical Equipment Operator",0,"Prof. Tyrell Crona"
2022,4,"Brisa Prosacco","British Indian Ocean Territory (Chagos Archipelago)","Airfield Operations Specialist",0,"Brisa Prosacco"
2022,5,"Cyril Ruecker","French Polynesia","Extruding Machine Operator",0,"Cyril Ruecker"
2022,6,"Daren Bosco",Mauritius,"Personal Care Worker",0,"Daren Bosco"
2022,7,"Magdalen Connelly",Ecuador,"Vending Machine Servicer",0,"Magdalen Connelly"
2022,8,"Jessyca Block",Peru,"Production Laborer",0,"Jessyca Block"
2022,9,"Ms. Aliya Ruecker",Dominica,"Sheet Metal Worker",0,"Ms. Aliya Ruecker"
2022,10,"Miss Annetta Schaefer I","Cape Verde",Paralegal,0,"Miss Annetta Schaefer I"
2022,1,"Prof. Roberta O'Conner",Macao,Geographer,0,"Prof. Roberta O'Conner"
2022,2,"Aurore Wintheiser",Nicaragua,"Agricultural Crop Farm Manager",0,"Aurore Wintheiser"
2022,3,"Prof. Laurie Robel Sr.","Sierra Leone","Surveying Technician",0,"Prof. Laurie Robel Sr."
2022,4,"Dr. Idella Ritchie MD",Croatia,"Food Preparation and Serving Worker",0,"Dr. Idella Ritchie MD"
2022,5,"Meghan Rempel",Switzerland,"Painter and Illustrator",0,"Meghan Rempel"
2022,6,"Mr. Cordell Schiller",Ethiopia,Editor,0,"Mr. Cordell Schiller"
2022,7,"Mrs. Theresia Ullrich V","United States of America",Plumber,0,"Mrs. Theresia Ullrich V"
2022,8,"Dr. Zion Bahringer DVM",Greenland,Clergy,0,"Dr. Zion Bahringer DVM"
2022,9,"Edgar Thiel",Macao,"Orthotist OR Prosthetist",0,"Edgar Thiel"
2022,10,"Mrs. Ottilie Krajcik",Micronesia,"Agricultural Equipment Operator",0,"Mrs. Ottilie Krajcik"
2022,1,"Mr. Jillian Morar","South Africa","Medical Appliance Technician",0,"Mr. Jillian Morar"
2022,2,"Hulda Satterfield",Romania,"Transportation Worker",0,"Hulda Satterfield"
2022,3,"Eudora Gutkowski V",Colombia,"Preschool Teacher",0,"Eudora Gutkowski V"
2022,4,"Hilario Brown IV",Tonga,"Sawing Machine Operator",0,"Hilario Brown IV"
2022,5,"Dr. Amparo Doyle V",Kenya,"Receptionist and Information Clerk",0,"Dr. Amparo Doyle V"
2022,6,"Ms. Novella Zemlak",Egypt,"Food Preparation and Serving Worker",0,"Ms. Novella Zemlak"
2022,7,"Ardith VonRueden",Macao,"Flight Attendant",0,"Ardith VonRueden"
2022,8,"Mr. Davion Kuhic Jr.",Poland,"Nuclear Power Reactor Operator",0,"Mr. Davion Kuhic Jr."
2022,9,"Sonia Lebsack",Philippines,"Product Promoter",0,"Sonia Lebsack"
2022,10,"Lindsay Homenick",Spain,"Typesetting Machine Operator",0,"Lindsay Homenick"
2022,1,"Dee Grady",India,"Space Sciences Teacher",0,"Dee Grady"
2022,2,"Mrs. Zelda Walsh II","Saint Lucia","Tool and Die Maker",0,"Mrs. Zelda Walsh II"
2022,3,"Toney Stracke",Andorra,"Scanner Operator",0,"Toney Stracke"
2022,4,"Vivian Flatley MD","Dominican Republic","Electric Meter Installer",0,"Vivian Flatley MD"
2022,5,"Alfred Schmeler",Jordan,"Gas Appliance Repairer",0,"Alfred Schmeler"
2022,6,"Mr. Marcos Leannon",Lesotho,"Event Planner",0,"Mr. Marcos Leannon"
2022,7,"Bradford Altenwerth",Jordan,"Insurance Claims Clerk",0,"Bradford Altenwerth"
2022,8,"Dr. Sandra Jaskolski",Croatia,"Percussion Instrument Repairer",0,"Dr. Sandra Jaskolski"
2022,9,"Dr. Berry Bode III",Iraq,"Financial Examiner",0,"Dr. Berry Bode III"
2022,10,"Modesto Hoppe","United Kingdom","Door To Door Sales",0,"Modesto Hoppe"
2022,1,"Russell Hegmann","United Arab Emirates","Glass Cutting Machine Operator",0,"Russell Hegmann"
2022,2,"Miss Burnice Eichmann V","South Georgia and the South Sandwich Islands","License Clerk",0,"Miss Burnice Eichmann V"
2022,3,"Mr. Trevor Becker Sr.",Canada,"Carpenter Assembler and Repairer",0,"Mr. Trevor Becker Sr."
2022,4,"Dortha Barrows",Cuba,"Bus Driver",0,"Dortha Barrows"
2022,5,"Paula Mitchell","Western Sahara","Food Preparation",0,"Paula Mitchell"
2022,6,"Ms. Ivory Denesik MD","Turks and Caicos Islands","Excavating Machine Operator",0,"Ms. Ivory Denesik MD"
2022,7,"Harmony Braun",Canada,Painter,0,"Harmony Braun"
2022,8,"Augusta Prohaska",Brazil,Statistician,0,"Augusta Prohaska"
2022,9,"Ervin Kautzer","Antarctica (the territory South of 60 deg S)","Ship Carpenter and Joiner",0,"Ervin Kautzer"
2022,10,"Prof. Wilber Blick",Cuba,"Retail Sales person",0,"Prof. Wilber Blick"
2022,1,"Prof. Colten Streich I",Ireland,"Architecture Teacher",0,"Prof. Colten Streich I"
2022,2,"Colin Johnson",Greenland,"Medical Appliance Technician",0,"Colin Johnson"
2022,3,"Sarina Reichert","Russian Federation","Social Service Specialists",0,"Sarina Reichert"
2022,4,"Chelsey Bogisich",Italy,"History Teacher",0,"Chelsey Bogisich"
2022,5,"Lemuel Brakus",Senegal,"Broadcast Technician",0,"Lemuel Brakus"
2022,6,"Bert Mante",Slovenia,"Food Preparation Worker",0,"Bert Mante"
2022,7,"Imani Von",Canada,"Carpet Installer",0,"Imani Von"
2022,8,"Anais Dicki",Gibraltar,"Packer and Packager",0,"Anais Dicki"
2022,9,"Pearl Lakin","Russian Federation","Gaming Supervisor",0,"Pearl Lakin"
2022,10,"Eliza Parisian","Equatorial Guinea",Waitress,0,"Eliza Parisian"
2022,1,"Tania Reichel",Senegal,"Automotive Glass Installers",0,"Tania Reichel"
2022,2,"Virgil Monahan",Micronesia,Admin,0,"Virgil Monahan"
2022,3,"Sid Brown",Switzerland,"Maintenance and Repair Worker",0,"Sid Brown"
2022,4,"Eliezer Zboncak","Cook Islands","Chemistry Teacher",0,"Eliezer Zboncak"
2022,5,"Gwendolyn Blanda","Papua New Guinea","Correctional Officer",0,"Gwendolyn Blanda"
2022,6,"Shanna VonRueden PhD","Antarctica (the territory South of 60 deg S)","Jewelry Model OR Mold Makers",0,"Shanna VonRueden PhD"
